national_party,ep_group,quantity_votes_party,quantity_votes_group,party_defection,party_cohesion,group_defection,group_cohesion
Arbetarepartiet- Socialdemokraterna,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,726,1152,0.04201101928374656,0.41873602770344154,0.9742566897918731,0.9513802995952901
Lega Nord,Europe of Nations and Freedom Group,955,1551,0.12502617801047122,0.4162150154697542,0.9159848879624805,0.6534230508199818
Lega Nord,Europe of Nations and Freedom Group,961,1558,0.12601456815816858,0.41703051628007387,0.916991173416407,0.6490263546489821
Wolność,Non-attached Members,784,1698,0.0,0.3318026543716506,0.9480854197349042,0.42739187204714885
Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,572,1045,0.06794247419247419,0.4703773718981872,0.9647595532039975,0.9515041075465062
Suomen Keskusta,Group of the Alliance of Liberals and Democrats for Europe,521,641,0.023032629558541268,0.18563557170803238,0.9550339366515838,0.9123519129424756
Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,602,874,0.08951609713652903,0.34866201994706447,0.9769796890403326,0.9587984675568115
Déi Gréng - Les Verts,Group of the Greens/European Free Alliance,0,869,,0.35138683157221584,1.0,0.9593483601220377
Parti chrétien social luxembourgeois,Group of the European People's Party (Christian Democrats),494,1265,0.0465587044534413,0.560552292590241,0.9740623477837311,0.9248261517243352
Forza Italia,,240,0,0.6034449404761905,,0.918628338425047,
Eesti Reformierakond,Group of the Alliance of Liberals and Democrats for Europe,242,795,0.0,0.6018751524017578,0.976998904709748,0.9288169354176417
Forza Italia,Group of the European People's Party (Christian Democrats),548,1215,0.25432525199860967,0.6529160383925827,0.9187805125679377,0.9261377527540591
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),748,1222,0.38734737499047234,0.5914396621893298,0.9464613557369673,0.9257277734896362
Kristdemokraterna,Group of the European People's Party (Christian Democrats),0,1191,,0.6370059389908792,1.0,0.9253189877238295
,,0.0,0.0,,,,
,,0.0,0.0,,,,
,,0.0,0.0,,,,
,,0.0,0.0,,,,
,,0.0,0.0,,,,
